Date,S_Central Mediterranean,Eastern Land Borders,Eastern Mediterranean,S_Eastern Mediterranean,Western Balkans,Western Mediterranean
9-Jan,0,0,82,9,0,0
9-Feb,0,2,45,16,0,0
9-Mar,0,1,36,20,0,0
9-Apr,18,6,26,10,0,0
9-May,0,4,25,11,0,0
9-Jun,0,1,18,16,0,0
9-Jul,1,0,20,22,0,0
9-Aug,0,0,17,18,0,0
9-Sep,10,0,15,13,0,0
9-Oct,7,0,24,9,0,0
9-Nov,4,5,27,2,0,0
9-Dec,0,0,19,38,0,0
10-Jan,0,0,21,9,0,0
10-Feb,0,0,19,17,0,0
10-Mar,0,0,26,10,2,0
10-Apr,9,0,20,23,0,0
10-May,0,0,11,29,0,0
10-Jun,38,0,12,11,0,0
10-Jul,35,0,52,21,0,0
10-Aug,76,0,78,8,0,0
10-Sep,0,0,66,11,0,0
10-Oct,25,1,81,0,0,0
10-Nov,7,2,68,0,5,0
9-Jul,1,0,20,22,0,0
9-Aug,0,0,17,18,0,0
9-Sep,10,0,15,13,0,0
9-Oct,7,0,24,9,0,0
9-Nov,4,5,27,2,0,0
9-Dec,0,0,19,38,0,0
10-Jan,0,0,21,9,0,0
10-Feb,0,0,19,17,0,0
10-Mar,0,0,26,10,2,0
10-Apr,9,0,20,23,0,0
10-May,0,0,11,29,0,0
10-Jun,38,0,12,11,0,0
10-Jul,35,0,52,21,0,0
10-Aug,76,0,78,8,0,0
10-Sep,0,0,66,11,0,0
10-Oct,25,1,81,0,0,0
10-Nov,7,2,68,0,5,0
10-Dec,1,0,41,0,5,0
11-Jan,0,0,40,4,1,0
11-Feb,6,0,26,1,2,0
11-Mar,19,0,19,8,0,0
11-Apr,25,0,38,4,12,0
11-May,6,0,57,6,2,0
11-Jun,35,0,78,7,1,0
11-Jul,5,0,92,10,1,0
11-Aug,99,0,137,6,4,0
11-Sep,82,0,163,0,3,0
11-Oct,3,4,222,17,6,0
11-Nov,0,0,194,7,1,0
11-Dec,3,0,150,6,1,0
12-Jan,0,0,208,6,0,0
12-Feb,2,0,185,10,3,0
12-Mar,5,3,272,16,5,0
12-Apr,0,3,546,19,14,0
12-May,29,1,545,16,9,0
12-Jun,40,4,783,2,13,0
12-Jul,99,0,1948,0,15,0
12-Aug,195,4,1046,151,20,0
12-Sep,24,2,265,133,21,0
12-Oct,140,0,157,210,18,0
12-Nov,26,0,112,295,43,0
12-Dec,21,5,149,48,17,0
13-Jan,85,0,104,80,40,0
13-Feb,2,0,114,211,30,0
13-Mar,56,0,219,223,84,0
13-Apr,40,5,195,252,58,0
13-May,207,4,261,319,79,0
13-Jun,255,2,265,751,91,0
13-Jul,691,22,281,696,90,0
13-Aug,2155,0,755,418,85,0
13-Sep,4098,8,1755,630,152,0
13-Oct,3298,13,2215,651,211,0
13-Nov,161,7,909,629,129,0
13-Dec,455,3,293,501,122,0
14-Jan,290,3,135,456,317,0
14-Feb,253,11,190,659,258,0
14-Mar,782,16,224,953,138,0
14-Apr,2348,0,243,1019,127,0
14-May,2635,6,348,1286,129,0
14-Jun,2949,2,476,2252,255,0
14-Jul,4415,5,481,2831,638,0
14-Aug,7597,3,583,4719,688,0
14-Sep,8747,14,825,5245,1045,0
14-Oct,3831,4,485,4581,1557,0
14-Nov,2782,16,324,1956,1645,0
14-Dec,3022,18,334,1068,523,123
15-Jan,764,22,255,799,631,0
15-Feb,156,2,196,1725,696,0
15-Mar,136,12,331,5058,1501,0
15-Apr,1039,12,388,8099,2115,0
15-May,1242,11,475,11188,2525,0
15-Jun,999,10,521,18802,5493,0
15-Jul,1159,16,555,37504,15835,0
15-Aug,1215,25,1470,84977,27818,0
15-Sep,362,23,1090,101590,32773,0
15-Oct,160,2,862,109671,651,0
15-Nov,155,22,652,66482,16,0
15-Dec,61,1,534,43116,10,0
16-Jan,6,2,593,30308,40,0
16-Feb,0,0,469,29577,110,0
16-Mar,10,0,150,14512,266,0
16-Apr,10,4,272,1362,311,0
16-May,113,4,127,546,356,0
16-Jun,56,0,63,437,580,0
16-Jul,133,0,126,526,386,0
16-Aug,249,7,160,1200,208,0
16-Sep,207,1,283,890,85,0
16-Oct,169,8,484,1178,158,0
16-Nov,174,6,176,756,72,0
16-Dec,73,0,112,278,133,143
