Region ,Dead,Lon,Lat
Europe,1.00,9.1758,40.0673
Europe,1.00,1.8764,50.9211
Europe,1.00,1.8752,50.9606
Europe,1.00,26.3182,41.1959
Europe,1.00,2.2215,50.9785
Europe,1.00,1.0186,51.0972
Europe,1.00,2.6411,50.5377
Europe,1.00,1.9084,50.9378
Europe,1.00,1.8910,50.9372
Europe,1.00,20.4514,44.8033
Europe,1.00,1.8847,50.9691
Europe,1.00,1.8902,50.9693
Europe,1.00,23.0225,43.4164
Europe,1.00,23.4849,43.5959
Europe,1.00,7.6056,43.7908
Europe,2.00,12.0614,47.4911
Europe,1.00,11.3336,46.4927
Europe,1.00,27.5591,42.3489
Europe,1.00,2.3730,51.0346
Europe,3.00,19.6750,44.0234
Europe,1.00,26.4702,41.3539
Europe,2.00,27.0113,42.0730
Europe,1.00,26.1793,40.8760
Europe,1.00,1.9164,50.9255
Europe,1.00,1.9525,50.9369
Europe,1.00,1.9425,50.9100
Europe,1.00,1.8788,50.9680
Europe,1.00,1.8287,50.9401
Europe,1.00,1.8534,50.9488
Europe,1.00,-6.8179,37.2723
Europe,1.00,1.8720,50.9658
Europe,1.00,21.7228,38.2241
Europe,6.00,22.8871,43.8238
Europe,1.00,22.4210,42.8539
Europe,1.00,1.8587,50.9513
Europe,1.00,1.8587,50.9513
Europe,1.00,1.8737,50.9688
Europe,1.00,1.8487,50.9503
Europe,1.00,1.8675,50.9686
Europe,1.00,1.8557,50.9365
Europe,1.00,1.8787,50.9355
Europe,1.00,27.8586,59.1551
Europe,1.00,4.7683,52.3105
Europe,1.00,21.5093,40.9057
Europe,1.00,1.8587,50.9513
Europe,1.00,2.1094,49.3824
Europe,1.00,1.8587,50.9513
Europe,1.00,1.8587,50.9513
Europe,1.00,1.4746,51.0179
Europe,1.00,1.8004,50.9143
Europe,1.00,2.1094,49.6107
Europe,1.00,1.7841,50.9223
Europe,1.00,1.4063,49.6107
Europe,1.00,4.9994,45.7321
Europe,1.00,20.0902,46.2474
Europe,1.00,25.8533,40.8590
Europe,2.00,15.6634,46.5527
Europe,2.00,-1.6793,52.7831
Europe,14.00,21.7815,41.7055
Europe,1.00,21.7718,40.9301
Europe,1.00,1.8182,50.9394
Europe,1.00,1.9141,50.9334
Europe,1.00,30.3490,66.9672
Europe,1.00,1.9162,50.9460
Europe,1.00,19.1706,45.2604
Europe,1.00,1.7867,50.9342
Europe,1.00,1.8000,50.9364
Europe,1.00,27.1813,42.3452
Europe,1.00,21.6499,42.3092
Europe,1.00,26.4755,39.3346
Europe,1.00,1.8587,50.9513
Europe,1.00,1.8587,50.9513
Europe,1.00,1.7829,50.9232
Europe,1.00,27.0791,37.5005
Europe,1.00,1.8897,50.1487
Europe,1.00,21.8188,41.5579
Europe,1.00,1.8587,50.9513
Europe,1.00,1.0437,51.1208
Europe,1.00,1.7578,50.8476
Europe,2.00,2.2574,50.9966
Europe,1.00,1.8587,50.9513
Europe,1.00,1.8587,50.9513
Europe,1.00,0.3452,51.4616
Europe,1.00,0.1758,50.9584
Europe,1.00,2.3594,48.7253
Europe,1.00,-0.4565,51.4712
Europe,1.00,13.5101,43.5982
Europe,1.00,22.7318,41.1434
Europe,1.00,1.8653,50.9348
Europe,1.00,1.8394,50.9644
Europe,1.00,23.0005,43.1445
Europe,1.00,22.7808,42.9035
Europe,2.00,27.5249,41.9791
Europe,1.00,1.8438,50.9687
Europe,1.00,19.6667,46.1000
Europe,1.00,11.7277,48.1116
Europe,3.00,22.5293,41.1408
Europe,2.00,27.5333,41.9833
Europe,1.00,1.8653,50.9348
Europe,1.00,19.9914,46.1870
Europe,1.00,-1.2500,51.8333
Europe,1.00,0.5169,51.2991
Europe,1.00,1.8956,50.9321
Europe,1.00,2.3994,51.0164
Europe,1.00,20.0518,46.1293
Europe,1.00,4.3488,50.8504
Mediterranean,1.00,12.8572,34.6202
Mediterranean,4.00,13.1208,35.0171
Mediterranean,1.00,-2.9306,35.2874
Mediterranean,3.00,-5.3341,35.8452
Mediterranean,1.00,-5.6193,35.9962
Mediterranean,21.00,12.8756,32.8064
Mediterranean,1.00,12.7263,32.7972
Mediterranean,1.00,-4.2722,36.4880
Mediterranean,1.00,-3.6760,36.7292
Mediterranean,1.00,12.7077,32.7926
Mediterranean,3.00,12.5149,32.8022
Mediterranean,5.00,12.5013,32.8933
Mediterranean,<Null>,-5.6132,35.9998
Mediterranean,1.00,26.1963,38.3441
Mediterranean,<Null>,14.2160,34.5856
Mediterranean,1.00,26.2326,37.5572
Mediterranean,1.00,27.2437,37.8475
Mediterranean,1.00,26.5540,39.1609
Mediterranean,<Null>,-3.9764,35.3525
Mediterranean,1.00,-5.3209,35.8805
Mediterranean,1.00,-2.9246,35.2729
Mediterranean,1.00,-2.9275,35.2731
Mediterranean,1.00,-2.9491,35.3159
Mediterranean,18.00,24.0396,32.0359
Mediterranean,3.00,12.0232,32.9495
Mediterranean,<Null>,13.6162,33.4001
Mediterranean,3.00,13.7580,33.7295
Mediterranean,5.00,13.9881,33.3864
